n,Runs,Mean Time,Std Dev,Standard Error,t-value,90% CI Lower,90% CI Upper,b,b/a,Batch Repeats,Meets b/a Requirement
50,92,1.1026034890757885e-05,6.348966538604089e-06,6.619255188325029e-07,1.6617711550302645,9.92606615678359e-06,1.212600362473218e-05,1.0999687339742954e-06,0.09976104237583164,100,True
100,87,3.09167622987749e-05,1.731914927373674e-05,1.856807702910005e-06,1.6627654493673436,2.7829326604257e-05,3.40041979932928e-05,3.087435694517899e-06,0.0998628402509095,100,True
200,146,5.862121219102497e-05,4.271497404813192e-05,3.5351164053731302e-06,1.6554302514146266,5.276907355129816e-05,6.447335083075178e-05,5.852138639726812e-06,0.09982971045799675,50,True
400,53,0.0001537424366001945,6.643377779224045e-05,9.125381182784042e-06,1.6746891537260251,0.0001384602597097705,0.0001690246134906185,1.5282176890424e-05,0.09940116228393811,50,True
800,85,0.0003559143052948725,0.00019562569482665956,2.121858576991999e-05,1.6631966790019561,0.0003206236239092234,0.00039120498668052155,3.529068138564909e-05,0.09915499562854325,20,True
1600,59,0.0008001422991567826,0.00036299240126381056,4.725758541484973e-05,1.671552762454859,0.0007211487517096441,0.000879135846603921,7.899354744713852e-05,0.09872437381498844,20,True
3200,49,0.0013507143714600622,0.0005608027731592961,8.011468187989945e-05,1.6772241961243388,0.0012163440885462908,0.0014850846543738336,0.0001343702829137715,0.0994809011830704,5,True
6400,59,0.0037889363627273574,0.001722372867720325,0.00022423384795142772,1.671552762454859,0.0034141176547482655,0.004163755070706449,0.0003748187079790918,0.09892451920445802,5,True
10000,60,0.005762888903348843,0.0026683904174182563,0.0003444877215946788,1.6710930321038946,0.005187217872146628,0.006338559934551057,0.000575671031202214,0.099892786561908,5,True
