n,Run,Target,Input List,Brute Force Sum,Greedy Sum,Quality Gap,Quality Ratio,Percent Gap,Greedy Optimal,Greedy Valid,Brute Force Time,Greedy Time
15,2,459,"[68, 68, 56, 35, 68, 43, 99, 89, 61, 19, 68, 84, 68, 65, 27]",459,451,8,0.9825708061002179,1.7429193899782136,False,True,0.0025317880008515203,6.890000804560259e-06
15,3,365,"[81, 30, 39, 62, 40, 13, 24, 35, 97, 100, 6, 14, 88, 3, 98]",365,363,2,0.9945205479452055,0.547945205479452,False,True,0.0006255160005821381,6.378999387379736e-06
15,4,492,"[11, 90, 99, 87, 50, 71, 81, 59, 30, 93, 83, 50, 28, 98, 55]",492,478,14,0.9715447154471545,2.8455284552845526,False,True,0.0017636650009080768,6.526999641209841e-06
15,5,283,"[75, 51, 14, 30, 2, 19, 12, 38, 53, 47, 14, 50, 17, 76, 69]",283,275,8,0.9717314487632509,2.8268551236749118,False,True,0.000394224000046961,2.881999535020441e-06
15,6,361,"[83, 40, 22, 76, 19, 64, 20, 72, 81, 25, 9, 53, 26, 54, 78]",361,358,3,0.9916897506925207,0.8310249307479225,False,True,0.0009032130001287442,3.3899996196851134e-06
15,7,469,"[20, 73, 73, 75, 78, 36, 27, 88, 33, 11, 90, 82, 78, 75, 100]",469,465,4,0.9914712153518124,0.8528784648187633,False,True,0.0014861380004731473,4.277000698493794e-06
15,8,357,"[51, 32, 21, 92, 60, 41, 45, 43, 46, 12, 79, 91, 78, 14, 10]",357,354,3,0.9915966386554622,0.8403361344537815,False,True,0.0004741970005852636,2.6100005925400183e-06
15,9,419,"[82, 4, 90, 64, 88, 44, 32, 56, 60, 40, 66, 30, 34, 55, 93]",419,419,0,1.0,0.0,True,True,0.00044431700007407926,3.4229997254442424e-06
15,10,418,"[37, 18, 37, 89, 19, 81, 39, 83, 49, 62, 95, 40, 66, 82, 40]",418,415,3,0.992822966507177,0.7177033492822966,False,True,0.001274759000807535,2.848999429261312e-06
15,11,443,"[92, 41, 76, 86, 83, 85, 64, 7, 25, 76, 81, 84, 27, 46, 14]",443,437,6,0.9864559819413092,1.3544018058690745,False,True,0.001029567998557468,3.335000656079501e-06
15,12,370,"[28, 75, 47, 25, 70, 9, 74, 60, 65, 96, 22, 73, 23, 3, 70]",370,368,2,0.9945945945945946,0.5405405405405406,False,True,0.000794778999988921,3.9719998312648386e-06
15,13,339,"[69, 68, 39, 95, 33, 39, 30, 18, 58, 39, 14, 48, 78, 10, 41]",339,338,1,0.9970501474926253,0.2949852507374631,False,True,0.0004134739992878167,2.4359997041756287e-06
15,14,351,"[19, 45, 48, 59, 7, 98, 55, 9, 11, 63, 68, 31, 16, 73, 100]",351,350,1,0.9971509971509972,0.2849002849002849,False,True,0.0008541960014554206,2.696000592550263e-06
15,15,424,"[77, 22, 47, 84, 84, 2, 69, 15, 52, 84, 76, 79, 56, 3, 99]",424,423,1,0.9976415094339622,0.2358490566037736,False,True,0.0011503320001793327,2.8670001483988017e-06
15,16,383,"[69, 92, 99, 22, 56, 48, 73, 23, 15, 55, 9, 78, 26, 63, 39]",383,381,2,0.9947780678851175,0.5221932114882507,False,True,0.0005855719991814112,3.72300019080285e-06
15,17,348,"[58, 87, 60, 13, 34, 14, 9, 73, 24, 99, 8, 63, 24, 69, 62]",348,342,6,0.9827586206896551,1.7241379310344827,False,True,0.00045357799899647944,2.291999408043921e-06
15,18,322,"[51, 3, 64, 46, 37, 70, 71, 13, 40, 46, 41, 69, 10, 34, 50]",322,320,2,0.9937888198757764,0.6211180124223602,False,True,0.0012415519995556679,4.661000275518745e-06
15,19,433,"[95, 9, 64, 44, 9, 92, 97, 43, 11, 95, 69, 10, 65, 92, 72]",433,433,0,1.0,0.0,True,True,0.0011603420007304521,3.1319996196543798e-06
15,20,381,"[21, 61, 49, 12, 66, 93, 56, 99, 15, 81, 29, 24, 17, 50, 90]",381,380,1,0.9973753280839895,0.26246719160104987,False,True,0.000717337999958545,3.297998773632571e-06
15,21,370,"[29, 90, 38, 90, 75, 41, 79, 71, 29, 13, 94, 8, 34, 47, 2]",370,368,2,0.9945945945945946,0.5405405405405406,False,True,0.0009823380005400395,2.532999133109115e-06
15,22,438,"[97, 85, 9, 13, 77, 20, 98, 93, 31, 49, 99, 97, 46, 16, 47]",438,438,0,1.0,0.0,True,True,0.000587885999266291,2.5049994292203337e-06
15,23,344,"[21, 14, 8, 87, 52, 38, 30, 58, 56, 35, 91, 39, 40, 29, 91]",344,341,3,0.9912790697674418,0.872093023255814,False,True,0.0008137200002238387,2.7779988158727065e-06
15,24,407,"[36, 41, 10, 93, 74, 20, 65, 75, 35, 59, 4, 87, 58, 87, 71]",407,407,0,1.0,0.0,True,True,0.0009554480002407217,3.821000063908286e-06
15,25,304,"[70, 92, 87, 18, 50, 54, 32, 85, 12, 39, 21, 2, 1, 29, 16]",304,304,0,1.0,0.0,True,True,0.00036012700002174824,2.456001311657019e-06
15,26,321,"[64, 6, 69, 29, 4, 92, 99, 29, 39, 28, 3, 27, 83, 31, 39]",321,319,2,0.9937694704049844,0.6230529595015576,False,True,0.0003589449988794513,2.2099993657320738e-06
15,27,450,"[61, 82, 72, 41, 49, 98, 68, 60, 27, 52, 92, 6, 95, 66, 32]",450,445,5,0.9888888888888889,1.1111111111111112,False,True,0.0010895800005528145,2.832000973285176e-06
15,28,421,"[95, 78, 50, 48, 24, 88, 39, 62, 91, 13, 44, 87, 64, 55, 5]",421,421,0,1.0,0.0,True,True,0.0009864290004770737,2.426000719424337e-06
15,29,406,"[51, 26, 58, 6, 95, 51, 14, 70, 77, 60, 18, 89, 32, 100, 65]",406,399,7,0.9827586206896551,1.7241379310344827,False,True,0.0017719759998726659,8.557000910514034e-06
15,30,369,"[84, 97, 97, 23, 39, 13, 28, 31, 2, 64, 43, 22, 94, 85, 16]",369,368,1,0.997289972899729,0.27100271002710025,False,True,0.0009868520010059,7.394999556709081e-06
16,1,390,"[85, 58, 12, 77, 11, 22, 72, 74, 80, 38, 78, 55, 73, 4, 35, 7]",390,390,0,1.0,0.0,True,True,0.0013370289998420049,7.64700052968692e-06
16,2,367,"[42, 74, 66, 58, 33, 84, 13, 12, 29, 72, 15, 21, 36, 67, 77, 36]",367,365,2,0.9945504087193461,0.544959128065395,False,True,0.001513776000138023,4.892999641015194e-06
16,3,451,"[91, 44, 50, 85, 91, 62, 25, 67, 97, 73, 6, 25, 53, 15, 63, 56]",451,443,8,0.9822616407982262,1.7738359201773837,False,True,0.0015795889994478785,6.40500002191402e-06
16,4,315,"[20, 15, 67, 30, 8, 13, 12, 59, 51, 97, 61, 53, 5, 79, 42, 18]",315,312,3,0.9904761904761905,0.9523809523809524,False,True,0.0010331680005037924,1.4803999874857254e-05
16,5,292,"[63, 20, 12, 9, 19, 7, 14, 7, 24, 16, 58, 56, 81, 99, 83, 16]",292,287,5,0.9828767123287672,1.7123287671232876,False,True,0.0006218269991222769,4.428000465850346e-06
16,6,498,"[87, 90, 42, 26, 98, 94, 56, 50, 15, 15, 22, 56, 82, 80, 89, 94]",498,491,7,0.9859437751004017,1.4056224899598393,False,True,0.0016435939996881643,7.788001312292181e-06
